State,CD #,County,"County Pop. in CD","% of CD in County"
LA,4,Webster,"41,207",5.50%
LA,5,Avoyelles,"42,073",5.60%
LA,5,Caldwell,"10,132",1.30%
LA,5,Catahoula,"10,407",1.40%
LA,5,Concordia,"20,822",2.80%
LA,5,East Carroll,"7,759",1.00%
LA,5,East Feliciana,"11,728",1.60%
LA,5,Franklin,"20,767",2.70%
LA,5,Grant,"22,309",3.00%
LA,5,Jackson,"16,274",2.20%
LA,5,La Salle,"14,890",2.00%
LA,5,Lincoln,"46,735",6.20%
LA,5,Madison,"12,093",1.60%
LA,5,Morehouse,"27,979",3.70%
LA,5,Ouachita,"153,720",20.30%
LA,5,Rapides,"131,613",17.40%
LA,5,Richland,"20,725",2.70%
LA,5,St. Helena,"2,734",0.40%
LA,5,St. Landry,"39,490",5.20%
LA,5,Tangipahoa,"48,369",6.40%
LA,5,Tensas,"5,252",0.70%
LA,5,Washington,"47,168",6.20%
LA,5,West Carroll,"11,604",1.50%
LA,5,West Feliciana,"15,625",2.10%
LA,5,Winn,"15,313",2.00%
LA,6,Ascension,"86,903",11.50%
LA,6,Assumption,"15,784",2.10%
LA,6,East Baton Rouge,"337,987",44.70%
LA,6,East Feliciana,"8,539",1.10%
LA,6,Iberville,"10,061",1.30%
LA,6,Lafourche,"50,075",6.60%
LA,6,Livingston,"128,026",16.90%
LA,6,Pointe Coupee,"22,802",3.00%
LA,6,St. Charles,"19,050",2.50%
LA,6,St. Helena,"8,469",1.10%
LA,6,St. John the Baptist,"12,360",1.60%
LA,6,Terrebonne,"42,389",5.60%
LA,6,West Baton Rouge,"13,162",1.70%
MA,1,Berkshire,"131,219",18.00%
MA,1,Franklin,"14,763",2.00%
MA,1,Hampden,"463,126",63.70%
MA,1,Hampshire,"57,341",7.90%
MA,1,Worcester,"61,066",8.40%
MA,2,Franklin,"56,609",7.80%
MA,2,Hampden,364,0.10%
MA,2,Hampshire,"100,739",13.80%
MA,2,Norfolk,"3,694",0.50%
MA,2,Worcester,"566,108",77.80%
MA,3,Essex,"209,562",28.80%
MA,3,Middlesex,"390,251",53.60%
MA,3,Worcester,"127,701",17.60%
MA,4,Bristol,"319,879",44.00%
MA,4,Middlesex,"100,071",13.80%
MA,4,Norfolk,"263,052",36.20%
MA,4,Plymouth,"10,602",1.50%
MA,4,Worcester,"33,910",4.70%
MA,5,Middlesex,"648,496",89.10%
MA,5,Suffolk,"69,243",9.50%
MA,5,Worcester,"9,767",1.30%
MA,6,Essex,"533,597",73.30%
MA,6,Middlesex,"193,918",26.70%
MA,6,Suffolk,9,0.00%
MA,7,Middlesex,"170,349",23.40%
MA,7,Norfolk,"40,142",5.50%
MA,7,Suffolk,"517,023",71.10%
MA,8,Bristol,"5,664",0.80%
MA,8,Norfolk,"363,962",50.00%
MA,8,Plymouth,"222,140",30.50%
MA,8,Suffolk,"135,748",18.70%
MA,9,Barnstable,"215,888",29.70%
MA,9,Bristol,"222,742",30.60%
MA,9,Dukes,"16,535",2.30%
MA,9,Nantucket,"10,172",1.40%
MA,9,Plymouth,"262,177",36.00%
MD,1,Baltimore,"54,879",7.60%
MD,1,Caroline,"33,066",4.60%
MD,1,Carroll,"64,960",9.00%
MD,1,Cecil,"101,108",14.00%
MD,1,Dorchester,"32,618",4.50%
MD,1,Harford,"153,587",21.30%
MD,1,Kent,"20,197",2.80%
MD,1,Queen Annes,"47,798",6.60%
MD,1,Somerset,"26,470",3.70%
MD,1,Talbot,"37,782",5.20%
MD,1,Wicomico,"98,733",13.70%
MD,1,Worcester,"51,454",7.10%
MD,2,Anne Arundel,"82,879",11.50%
MD,2,Baltimore,"426,822",59.00%
MD,2,Harford,"91,239",12.60%
MD,2,Howard,"38,900",5.40%
MD,2,Baltimore city,"83,605",11.60%
MD,3,Anne Arundel,"218,099",30.30%
MD,3,Baltimore,"135,095",18.80%
MD,3,Howard,"91,701",12.70%
MD,3,Montgomery,"109,988",15.30%
MD,3,Baltimore city,"165,211",22.90%
MD,4,Anne Arundel,"179,487",24.90%
MD,4,Prince Georges,"540,603",75.10%
MD,5,Anne Arundel,"57,191",7.90%
MD,5,Calvert,"88,737",12.30%
MD,5,Charles,"146,551",20.30%
MD,5,Prince Georges,"322,817",44.80%
MD,5,St. Marys,"105,151",14.60%
MD,6,Allegany,"75,087",10.30%
MD,6,Frederick,"117,162",16.10%
MD,6,Garrett,"30,097",4.10%
MD,6,Montgomery,"358,738",49.20%
MD,6,Washington,"147,430",20.20%
MD,7,Baltimore,"188,233",26.30%
MD,7,Howard,"156,484",21.80%
MD,7,Baltimore city,"372,145",51.90%
MD,8,Carroll,"102,174",14.20%
MD,8,Frederick,"116,223",16.10%
MD,8,Montgomery,"503,051",69.70%
ME,1,Cumberland,"281,674",42.40%
ME,1,Kennebec,"75,889",11.40%
ME,1,Knox,"39,736",6.00%
ME,1,Lincoln,"34,457",5.20%
ME,1,Sagadahoc,"35,293",5.30%
ME,1,York,"197,131",29.70%
ME,2,Androscoggin,"107,702",16.20%
ME,2,Aroostook,"71,870",10.80%
ME,2,Franklin,"30,768",4.60%
ME,2,Hancock,"54,418",8.20%
ME,2,Kennebec,"46,262",7.00%
ME,2,Oxford,"57,833",8.70%
ME,2,Penobscot,"153,923",23.20%
ME,2,Piscataquis,"17,535",2.60%
ME,2,Somerset,"52,228",7.90%
ME,2,Waldo,"38,786",5.80%
ME,2,Washington,"32,856",4.90%
MI,1,Alcona,"10,942",1.50%
MI,1,Alger,"9,601",1.40%
MI,1,Alpena,"29,598",4.20%
MI,1,Antrim,"23,580",3.30%
MI,1,Baraga,"8,860",1.30%
MI,1,Benzie,"17,525",2.50%
MI,1,Charlevoix,"25,949",3.70%
MI,1,Cheboygan,"26,152",3.70%
MI,1,Chippewa,"38,520",5.50%
MI,1,Crawford,"14,074",2.00%
MI,1,Delta,"37,069",5.30%
MI,1,Dickinson,"26,168",3.70%
MI,1,Emmet,"32,694",4.60%
MI,1,Gogebic,"16,427",2.30%
MI,1,Grand Traverse,"86,986",12.30%
MI,1,Houghton,"36,628",5.20%
MI,1,Iron,"11,817",1.70%
MI,1,Kalkaska,"17,153",2.40%
MI,1,Keweenaw,"2,156",0.30%
MI,1,Leelanau,"21,708",3.10%
MI,1,Luce,"6,631",0.90%
MI,1,Mackinac,"11,113",1.60%
MI,1,Manistee,"24,733",3.50%
MI,1,Marquette,"67,077",9.50%
MI,1,Mason,"7,574",1.10%
MI,1,Menominee,"24,029",3.40%
MI,1,Montmorency,"9,765",1.40%
MI,1,Ontonagon,"6,780",1.00%
MI,1,Oscoda,"8,640",1.20%
MI,1,Otsego,"24,164",3.40%
MI,1,Presque Isle,"13,376",1.90%
MI,1,Schoolcraft,"8,485",1.20%
MI,2,Allegan,"2,424",0.30%
MI,2,Kent,"159,860",22.60%
MI,2,Lake,"11,539",1.60%
MI,2,Mason,"21,131",3.00%
MI,2,Muskegon,"172,188",24.40%
MI,2,Newaygo,"48,460",6.90%
MI,2,Oceana,"26,570",3.80%
MI,2,Ottawa,"263,801",37.40%
MI,3,Barry,"59,173",8.40%
MI,3,Calhoun,"136,146",19.30%
MI,3,Ionia,"63,905",9.10%
MI,3,Kent,"442,762",62.70%
MI,3,Montcalm,"3,990",0.60%
MI,4,Clare,"30,926",4.40%
MI,4,Clinton,"75,382",10.70%
MI,4,Gladwin,"25,692",3.60%
MI,4,Gratiot,"42,476",6.00%
MI,4,Isabella,"70,311",10.00%
MI,4,Mecosta,"42,798",6.10%
MI,4,Midland,"83,629",11.80%
MI,4,Missaukee,"14,849",2.10%
MI,4,Montcalm,"59,352",8.40%
MI,4,Ogemaw,"21,699",3.10%
MI,4,Osceola,"23,528",3.30%
MI,4,Roscommon,"24,449",3.50%
MI,4,Saginaw,"87,500",12.40%
MI,4,Shiawassee,"70,648",10.00%
MI,4,Wexford,"32,735",4.60%
MI,5,Arenac,"15,899",2.30%
MI,5,Bay,"107,771",15.30%
MI,5,Genesee,"425,790",60.30%
MI,5,Iosco,"25,887",3.70%
MI,5,Saginaw,"112,669",16.00%
MI,5,Tuscola,"17,959",2.50%
MI,6,Allegan,"108,984",15.40%
MI,6,Berrien,"156,813",22.20%
MI,6,Cass,"52,293",7.40%
MI,6,Kalamazoo,"250,331",35.50%
MI,6,St. Joseph,"61,295",8.70%
MI,6,Van Buren,"76,258",10.80%
MI,7,Branch,"45,248",6.40%
MI,7,Eaton,"107,759",15.30%
MI,7,Hillsdale,"46,688",6.60%
MI,7,Jackson,"160,248",22.70%
MI,7,Lenawee,"99,892",14.10%
MI,7,Monroe,"152,021",21.50%
MI,7,Washtenaw,"94,118",13.30%
MI,8,Ingham,"280,895",39.80%
MI,8,Livingston,"180,967",25.60%
MI,8,Oakland,"244,106",34.60%
MI,9,Macomb,"500,365",70.90%
MI,9,Oakland,"205,474",29.10%
MI,9,Wayne,5,0.00%
MI,10,Huron,"33,118",4.70%
MI,10,Lapeer,"88,319",12.50%
MI,10,Macomb,"340,613",48.20%
MI,10,Oakland,7,0.00%
MI,10,St. Clair,"163,040",23.10%
MI,10,Sanilac,"43,114",6.10%
MI,10,Tuscola,"37,770",5.30%
MI,11,Oakland,"450,967",63.90%
MI,11,Wayne,"255,007",36.10%
MI,12,Washtenaw,"250,673",35.50%
MI,12,Wayne,"455,257",64.50%
MI,13,Wayne,"706,018",100.00%
MI,14,Oakland,"301,808",42.70%
MI,14,Wayne,"404,297",57.30%
MN,1,Blue Earth,"64,013",9.70%
MN,1,Brown,"25,893",3.90%
MN,1,Cottonwood,"3,803",0.60%
MN,1,Dodge,"20,087",3.00%
MN,1,Faribault,"14,553",2.20%
MN,1,Fillmore,"20,866",3.10%
MN,1,Freeborn,"31,255",4.70%
MN,1,Houston,"19,027",2.90%
MN,1,Jackson,"10,266",1.50%
MN,1,Le Sueur,"27,703",4.20%
MN,1,Martin,"20,840",3.10%
MN,1,Mower,"39,163",5.90%
MN,1,Nicollet,"32,727",4.90%
MN,1,Nobles,"21,378",3.20%
MN,1,Olmsted,"144,248",21.80%
MN,1,Rice,"39,098",5.90%
MN,1,Rock,"9,687",1.50%
MN,1,Steele,"36,576",5.50%
MN,1,Waseca,"19,136",2.90%
MN,1,Watonwan,"11,211",1.70%
MN,1,Winona,"51,461",7.80%
MN,2,Dakota,"398,552",60.10%
MN,2,Goodhue,"46,183",7.00%
MN,2,Rice,"25,044",3.80%
MN,2,Scott,"129,928",19.60%
MN,2,Wabasha,"21,676",3.30%
MN,2,Washington,"41,608",6.30%
MN,3,Anoka,"61,476",9.30%
MN,3,Carver,"56,363",8.50%
MN,3,Hennepin,"545,151",82.20%
MN,4,Ramsey,"505,570",76.30%
MN,4,Washington,"157,420",23.70%
MN,5,Anoka,"53,682",8.10%
MN,5,Hennepin,"606,239",91.40%
MN,5,Ramsey,"3,070",0.50%
MN,6,Anoka,"215,686",32.50%
MN,6,Benton,"38,451",5.80%
MN,6,Carver,"34,679",5.20%
MN,6,Hennepin,"1,035",0.20%
MN,6,Sherburne,"88,499",13.30%
MN,6,Stearns,"120,835",18.20%
MN,6,Washington,"39,108",5.90%
MN,6,Wright,"124,700",18.80%
MN,7,Becker,"32,504",4.90%
MN,7,Beltrami,"30,001",4.50%
MN,7,Big Stone,"5,269",0.80%
MN,7,Chippewa,"12,441",1.90%
MN,7,Clay,"58,999",8.90%
MN,7,Clearwater,"8,695",1.30%
MN,7,Cottonwood,"7,884",1.20%
MN,7,Douglas,"36,009",5.40%
MN,7,Grant,"6,018",0.90%
MN,7,Kandiyohi,"42,239",6.40%
MN,7,Kittson,"4,552",0.70%
MN,7,Lac qui Parle,"7,259",1.10%
MN,7,Lake of the Woods,"4,045",0.60%
MN,7,Lincoln,"5,896",0.90%
MN,7,Lyon,"25,857",3.90%
MN,7,McLeod,"36,651",5.50%
MN,7,Mahnomen,"5,413",0.80%
MN,7,Marshall,"9,439",1.40%
MN,7,Meeker,"23,300",3.50%
MN,7,Murray,"8,725",1.30%
MN,7,Norman,"6,852",1.00%
MN,7,Otter Tail,"57,303",8.60%
MN,7,Pennington,"13,930",2.10%
MN,7,Pipestone,"9,596",1.40%
MN,7,Polk,"31,600",4.80%
MN,7,Pope,"10,995",1.70%
MN,7,Red Lake,"4,089",0.60%
MN,7,Redwood,"16,059",2.40%
MN,7,Renville,"15,730",2.40%
MN,7,Roseau,"15,629",2.40%
MN,7,Sibley,"15,226",2.30%
MN,7,Stearns,"29,807",4.50%
MN,7,Stevens,"9,726",1.50%
MN,7,Swift,"9,783",1.50%
MN,7,Todd,"24,895",3.80%
MN,7,Traverse,"3,558",0.50%
MN,7,Wilkin,"6,576",1.00%
MN,7,Yellow Medicine,"10,438",1.60%
MN,8,Aitkin,"16,202",2.40%
MN,8,Beltrami,"14,441",2.20%
MN,8,Carlton,"35,386",5.30%
MN,8,Cass,"28,567",4.30%
MN,8,Chisago,"53,887",8.10%
MN,8,Cook,"5,176",0.80%
MN,8,Crow Wing,"62,500",9.40%
MN,8,Hubbard,"20,428",3.10%
MN,8,Isanti,"37,816",5.70%
MN,8,Itasca,"45,058",6.80%
MN,8,Kanabec,"16,239",2.40%
MN,8,Koochiching,"13,311",2.00%
MN,8,Lake,"10,866",1.60%
MN,8,Mille Lacs,"26,097",3.90%
MN,8,Morrison,"33,198",5.00%
MN,8,Pine,"29,750",4.50%
MN,8,St. Louis,"200,226",30.20%
MN,8,Wadena,"13,843",2.10%
MO,1,St. Louis,"429,324",57.30%
MO,1,St. Louis city,"319,294",42.70%
MO,2,Jefferson,"44,106",5.90%
MO,2,St. Charles,"134,878",18.00%
MO,2,St. Louis,"569,630",76.10%
MO,3,Callaway,"44,332",5.90%
MO,3,Camden,"26,722",3.60%
MO,3,Cole,"75,990",10.20%
MO,3,Franklin,"101,492",13.60%
MO,3,Gasconade,"15,222",2.00%
MO,3,Jefferson,"114,133",15.20%
MO,3,Lincoln,"52,566",7.00%
MO,3,Maries,"9,176",1.20%
MO,3,Miller,"24,748",3.30%
MO,3,Montgomery,"12,236",1.60%
MO,3,Osage,"13,878",1.90%
MO,3,St. Charles,"225,607",30.10%
MO,3,Warren,"32,513",4.30%
MO,4,Audrain,"19,204",2.60%
MO,4,Barton,"12,402",1.70%
MO,4,Bates,"17,049",2.30%
MO,4,Benton,"19,056",2.50%
MO,4,Boone,"162,642",21.70%
MO,4,Camden,"17,280",2.30%
MO,4,Cass,"99,478",13.30%
MO,4,Cedar,"13,982",1.90%
MO,4,Cooper,"17,601",2.40%
MO,4,Dade,"7,883",1.10%
MO,4,Dallas,"16,777",2.20%
MO,4,Henry,"22,272",3.00%
MO,4,Hickory,"9,627",1.30%
MO,4,Howard,"10,144",1.40%
MO,4,Jackson,21,0.00%
MO,4,Johnson,"52,595",7.00%
MO,4,Laclede,"35,571",4.80%
MO,4,Moniteau,"15,607",2.10%
MO,4,Morgan,"20,565",2.70%
MO,4,Pettis,"42,201",5.60%
MO,4,Pulaski,"52,274",7.00%
MO,4,Randolph,"25,414",3.40%
MO,4,St. Clair,"9,805",1.30%
MO,4,Vernon,"21,159",2.80%
MO,4,Webster,"28,028",3.70%
MO,5,Clay,"73,731",9.80%
MO,5,Jackson,"594,619",79.40%
MO,5,Lafayette,"33,381",4.50%
MO,5,Ray,"23,494",3.10%
MO,5,Saline,"23,370",3.10%
MO,6,Adair,"25,607",3.40%
MO,6,Andrew,"17,291",2.30%
MO,6,Atchison,"5,685",0.80%
MO,6,Audrain,"6,325",0.80%
MO,6,Buchanan,"89,201",11.90%
MO,6,Caldwell,"9,424",1.30%
MO,6,Carroll,"9,295",1.20%
MO,6,Chariton,"7,831",1.00%
MO,6,Clark,"7,139",1.00%
MO,6,Clay,"148,208",19.80%
MO,6,Clinton,"20,743",2.80%
MO,6,Daviess,"8,433",1.10%
MO,6,DeKalb,"12,892",1.70%
MO,6,Gentry,"6,738",0.90%
MO,6,Grundy,"10,261",1.40%
MO,6,Harrison,"8,957",1.20%
MO,6,Holt,"4,912",0.70%
MO,6,Jackson,"79,518",10.60%
MO,6,Knox,"4,131",0.60%
MO,6,Lewis,"10,211",1.40%
MO,6,Linn,"12,761",1.70%
MO,6,Livingston,"15,195",2.00%
MO,6,Macon,"15,566",2.10%
MO,6,Marion,"28,781",3.80%
MO,6,Mercer,"3,785",0.50%
MO,6,Monroe,"8,840",1.20%
MO,6,Nodaway,"23,370",3.10%
MO,6,Pike,"18,516",2.50%
MO,6,Platte,"89,322",11.90%
MO,6,Putnam,"4,979",0.70%
MO,6,Ralls,"10,167",1.40%
MO,6,Schuyler,"4,431",0.60%
MO,6,Scotland,"4,843",0.60%
MO,6,Shelby,"6,373",0.90%
MO,6,Sullivan,"6,714",0.90%
MO,6,Worth,"2,171",0.30%
MO,7,Barry,"35,597",4.80%
MO,7,Christian,"77,422",10.30%
MO,7,Greene,"275,174",36.80%
MO,7,Jasper,"117,404",15.70%
MO,7,Lawrence,"38,634",5.20%
MO,7,McDonald,"23,083",3.10%
MO,7,Newton,"58,114",7.80%
MO,7,Polk,"31,137",4.20%
MO,7,Stone,"32,202",4.30%
MO,7,Taney,"51,675",6.90%
MO,7,Webster,"8,174",1.10%
MO,8,Bollinger,"12,363",1.70%
MO,8,Butler,"42,794",5.70%
MO,8,Cape Girardeau,"75,674",10.10%
MO,8,Carter,"6,265",0.80%
MO,8,Crawford,"24,696",3.30%
MO,8,Dent,"15,657",2.10%
MO,8,Douglas,"13,684",1.80%
MO,8,Dunklin,"31,953",4.30%
MO,8,Howell,"40,400",5.40%
MO,8,Iron,"10,630",1.40%
MO,8,Jefferson,"60,494",8.10%
MO,8,Madison,"12,226",1.60%
MO,8,Mississippi,"14,358",1.90%
MO,8,New Madrid,"18,956",2.50%
MO,8,Oregon,"10,881",1.50%
MO,8,Ozark,"9,723",1.30%
MO,8,Pemiscot,"18,296",2.40%
MO,8,Perry,"18,971",2.50%
MO,8,Phelps,"45,156",6.00%
MO,8,Reynolds,"6,696",0.90%
MO,8,Ripley,"14,100",1.90%
MO,8,Ste. Genevieve,"18,145",2.40%
MO,8,St. Francois,"65,359",8.70%
MO,8,Scott,"39,191",5.20%
MO,8,Shannon,"8,441",1.10%
MO,8,Stoddard,"29,968",4.00%
MO,8,Texas,"26,008",3.50%
MO,8,Washington,"25,195",3.40%
MO,8,Wayne,"13,521",1.80%
MO,8,Wright,"18,815",2.50%
MS,1,Alcorn,"37,057",5.00%
MS,1,Benton,"8,729",1.20%
MS,1,Calhoun,"14,962",2.00%
MS,1,Chickasaw,"17,392",2.30%
MS,1,Choctaw,"8,547",1.20%
MS,1,Clay,"20,634",2.80%
MS,1,DeSoto,"161,252",21.70%
MS,1,Itawamba,"23,401",3.20%
MS,1,Lafayette,"47,351",6.40%
MS,1,Lee,"82,910",11.20%
MS,1,Lowndes,"59,779",8.10%
MS,1,Marshall,"37,144",5.00%
MS,1,Monroe,"36,989",5.00%
MS,1,Oktibbeha,"3,161",0.40%
MS,1,Pontotoc,"29,957",4.00%
MS,1,Prentiss,"25,276",3.40%
MS,1,Tate,"28,886",3.90%
MS,1,Tippah,"22,232",3.00%
MS,1,Tishomingo,"19,593",2.60%
MS,1,Union,"27,134",3.70%
MS,1,Webster,"10,253",1.40%
MS,1,Winston,"19,198",2.60%
MS,2,Attala,"19,564",2.60%
MS,2,Bolivar,"34,145",4.60%
MS,2,Carroll,"10,597",1.40%
MS,2,Claiborne,"9,604",1.30%
MS,2,Coahoma,"26,151",3.50%
MS,2,Copiah,"29,449",4.00%
MS,2,Grenada,"21,906",3.00%
MS,2,Hinds,"214,647",28.90%
MS,2,Holmes,"19,198",2.60%
MS,2,Humphreys,"9,375",1.30%
MS,2,Issaquena,"1,406",0.20%
MS,2,Jefferson,"7,726",1.00%
MS,2,Leake,"23,805",3.20%
MS,2,Leflore,"32,317",4.40%
MS,2,Madison,"26,942",3.60%
MS,2,Montgomery,"10,925",1.50%
MS,2,Panola,"34,707",4.70%
MS,2,Quitman,"8,223",1.10%
MS,2,Sharkey,"4,916",0.70%
MS,2,Sunflower,"29,450",4.00%
MS,2,Tallahatchie,"15,378",2.10%
MS,2,Tunica,"10,778",1.50%
MS,2,Warren,"48,773",6.60%
MS,2,Washington,"51,137",6.90%
MS,2,Yalobusha,"12,678",1.70%
MS,2,Yazoo,"28,065",3.80%
MS,3,Adams,"32,297",4.40%
MS,3,Amite,"13,131",1.80%
MS,3,Clarke,"14,694",2.00%
MS,3,Covington,"19,568",2.60%
MS,3,Franklin,"8,118",1.10%
MS,3,Hinds,"30,638",4.10%
MS,3,Jasper,"17,062",2.30%
MS,3,Jefferson Davis,"12,487",1.70%
MS,3,Kemper,"10,456",1.40%
MS,3,Lauderdale,"80,261",10.80%
MS,3,Lawrence,"12,929",1.70%
MS,3,Lincoln,"34,869",4.70%
MS,3,Madison,"68,261",9.20%
MS,3,Neshoba,"29,676",4.00%
MS,3,Newton,"21,720",2.90%
MS,3,Noxubee,"11,545",1.60%
MS,3,Oktibbeha,"44,510",6.00%
MS,3,Pike,"40,404",5.40%
MS,3,Rankin,"141,617",19.10%
MS,3,Scott,"28,264",3.80%
MS,3,Simpson,"27,503",3.70%
MS,3,Smith,"16,491",2.20%
MS,3,Walthall,"15,443",2.10%
MS,3,Wilkinson,"9,878",1.30%
MS,4,Clarke,"2,038",0.30%
MS,4,Forrest,"74,934",10.10%
MS,4,George,"22,578",3.00%
MS,4,Greene,"14,400",1.90%
MS,4,Hancock,"43,929",5.90%
MS,4,Harrison,"187,105",25.20%
MS,4,Jackson,"139,668",18.80%
MS,4,Jones,"67,761",9.10%
MS,4,Lamar,"55,658",7.50%
MS,4,Marion,"27,088",3.70%
MS,4,Pearl River,"55,834",7.50%
MS,4,Perry,"12,250",1.70%
MS,4,Stone,"17,786",2.40%
MS,4,Wayne,"20,747",2.80%
MT,1,Beaverhead,"9,246",0.90%
MT,1,Big Horn,"12,865",1.30%
MT,1,Blaine,"6,491",0.70%
MT,1,Broadwater,"5,612",0.60%
MT,1,Carbon,"10,078",1.00%
MT,1,Carter,"1,160",0.10%
MT,1,Cascade,"81,327",8.20%
MT,1,Chouteau,"5,813",0.60%
MT,1,Custer,"11,699",1.20%
MT,1,Daniels,"1,751",0.20%
MT,1,Dawson,"8,966",0.90%
MT,1,Deer Lodge,"9,298",0.90%
MT,1,Fallon,"2,890",0.30%
MT,1,Fergus,"11,586",1.20%
MT,1,Flathead,"90,928",9.20%
MT,1,Gallatin,"89,513",9.00%
MT,1,Garfield,"1,206",0.10%
MT,1,Glacier,"13,399",1.40%
MT,1,Golden Valley,884,0.10%
MT,1,Granite,"3,079",0.30%
MT,1,Hill,"16,096",1.60%
MT,1,Jefferson,"11,406",1.20%
MT,1,Judith Basin,"2,072",0.20%
MT,1,Lake,"28,746",2.90%
MT,1,Lewis and Clark,"63,395",6.40%
MT,1,Liberty,"2,339",0.20%
MT,1,Lincoln,"19,687",2.00%
MT,1,McCone,"1,734",0.20%
MT,1,Madison,"7,691",0.80%
MT,1,Meagher,"1,891",0.20%
MT,1,Mineral,"4,223",0.40%
MT,1,Missoula,"109,299",11.00%
MT,1,Musselshell,"4,538",0.50%
MT,1,Park,"15,636",1.60%
MT,1,Petroleum,494,0.00%
MT,1,Phillips,"4,253",0.40%
MT,1,Pondera,"6,153",0.60%
MT,1,Powder River,"1,743",0.20%
MT,1,Powell,"7,027",0.70%
MT,1,Prairie,"1,179",0.10%
MT,1,Ravalli,"40,212",4.10%
MT,1,Richland,"9,746",1.00%
MT,1,Roosevelt,"10,425",1.10%
MT,1,Rosebud,"9,233",0.90%
MT,1,Sanders,"11,413",1.20%
MT,1,Sheridan,"3,384",0.30%
MT,1,Silver Bow,"34,200",3.50%
MT,1,Stillwater,"9,117",0.90%
MT,1,Sweet Grass,"3,651",0.40%
MT,1,Teton,"6,073",0.60%
MT,1,Toole,"5,324",0.50%
MT,1,Treasure,718,0.10%
MT,1,Valley,"7,369",0.70%
MT,1,Wheatland,"2,168",0.20%
MT,1,Wibaux,"1,017",0.10%
MT,1,Yellowstone,"147,972",15.00%
NC,1,Bertie,"21,282",2.90%
NC,1,Edgecombe,"56,552",7.70%
NC,1,Gates,"12,197",1.70%
NC,1,Greene,"21,362",2.90%
NC,1,Halifax,"54,691",7.50%
NC,1,Hertford,"24,669",3.40%
NC,1,Martin,"24,505",3.30%
NC,1,Nash,"95,840",13.10%
NC,1,Northampton,"22,099",3.00%
NC,1,Pitt,"118,022",16.10%
NC,1,Vance,"44,222",6.00%
NC,1,Warren,"20,972",2.90%
NC,1,Washington,"13,228",1.80%
NC,1,Wayne,"122,623",16.70%
NC,1,Wilson,"81,234",11.10%
NC,2,Wake,"733,499",100.00%
NC,3,Beaufort,"47,759",6.50%
NC,3,Camden,"9,980",1.40%
NC,3,Carteret,"66,469",9.10%
NC,3,Chowan,"14,793",2.00%
NC,3,Craven,"103,505",14.10%
NC,3,Currituck,"23,547",3.20%
NC,3,Dare,"33,920",4.60%
NC,3,Duplin,58505,8.00%
NC,3,Hyde,"5,810",0.80%
NC,3,Jones,"10,153",1.40%
NC,3,Lenoir,"59,495",8.10%
NC,3,Onslow,"177,772",24.20%
NC,3,Pamlico,"13,144",1.80%
NC,3,Pasquotank,"40,661",5.50%
NC,3,Perquimans,"13,453",1.80%
NC,3,Pitt,"50,126",6.80%
NC,3,Tyrrell,"4,407",0.60%
NC,4,Chatham,"42,882",5.80%
NC,4,Durham,"267,587",36.50%
NC,4,Franklin,"60,619",8.30%
NC,4,Granville,"59,916",8.20%
NC,4,Orange,"133,801",18.20%
NC,4,Vance,"1,200",0.20%
NC,4,Wake,"167,494",22.80%
NC,5,Alexander,"37,198",5.10%
NC,5,Alleghany,"11,155",1.50%
NC,5,Ashe,"27,281",3.70%
NC,5,Burke,"90,912",12.40%
NC,5,Caldwell,"83,029",11.30%
NC,5,Catawba,"15,316",2.10%
NC,5,Cleveland,"98,078",13.40%
NC,5,Gaston,206086,28.10%
NC,5,Rutherford,"44,025",6.00%
NC,5,Watauga,"51,079",7.00%
NC,5,Wilkes,"69,340",9.50%
NC,6,Forsyth,"245,092",33.40%
NC,6,Guilford,"488,406",66.60%
NC,7,Bladen,"35,190",4.80%
NC,7,Brunswick,"107,431",14.60%
NC,7,Columbus,"58,098",7.90%
NC,7,Harnett,"45,587",6.20%
NC,7,Johnston,"168,878",23.00%
NC,7,New Hanover,"202,667",27.60%
NC,7,Pender,"52,217",7.10%
NC,7,Sampson,"63,431",8.60%
NC,8,Cabarrus,"178,011",24.30%
NC,8,Cumberland,"319,431",43.50%
NC,8,Harnett,"69,091",9.40%
NC,8,Lee,45549,6.20%
NC,8,Montgomery,"27,798",3.80%
NC,8,Moore,"33,033",4.50%
NC,8,Stanly,"60,585",8.30%
NC,9,Anson,"26,948",3.70%
NC,9,Hoke,46952,6.40%
NC,9,Mecklenburg,"186,129",25.40%
NC,9,Moore,"55,214",7.50%
NC,9,Richmond,"46,639",6.40%
NC,9,Robeson,"134,168",18.30%
NC,9,Scotland,"36,157",4.90%
NC,9,Union,"201,292",27.40%
NC,10,Catawba,"139,042",19.00%
NC,10,Forsyth,"105,578",14.40%
NC,10,Iredell,"157,491",21.50%
NC,10,Lincoln,"78,265",10.70%
NC,10,Rockingham,"93,643",12.80%
NC,10,Stokes,"47,401",6.50%
NC,10,Surry,"73,673",10.00%
NC,10,Yadkin,"38,406",5.20%
NC,11,Avery,"17,797",2.40%
NC,11,Buncombe,"238,318",32.50%
NC,11,Cherokee,"27,444",3.70%
NC,11,Clay,"10,587",1.40%
NC,11,Graham,"8,861",1.20%
NC,11,Haywood,"59,036",8.00%
NC,11,Henderson,"106,740",14.60%
NC,11,Jackson,"40,271",5.50%
NC,11,McDowell,"44,996",6.10%
NC,11,Macon,"33,922",4.60%
